datetime,amount,description
10/22/22 0:00,-820.6,ZELLE DEBIT PAYMENT TO: S. BELL . ID: SBS9O221T
8/10/23 0:00,-816.56,INTERNET TRANSFER TO DDA# 20603297793 ON12 AT 21.18
7/10/23 0:00,-799.59,ACH DEBIT PAYMENT PROCESSOR PAYABLES MEADOWLARK CANYON LOGISTICS CO L6NRRS3 9
7/31/23 0:00,-791.33,ZELLE DEBIT PAYMENT TO: W. KIM . ID: 6AYF5ML6ST5NWIOV
1/27/23 0:00,-786.43,ACH DEBIT PAYMENT PROCESSOR PAYABLES OAKBRIDGE SPRINGS  CO Q1QUMZZLLQ 9
1/29/23 0:00,-784.7,ACH DEBIT PAYMENT PROCESSOR PAYABLES OAKRIDGE SHORE LLC U0R5MK9Q
2/4/24 0:00,-770.21,"INCOMING WIRE ""COBALT RIDGE HOLLOW LP"" MNY8P8JWKRT8SBA"
7/30/23 0:00,-767.9,INTERNET TRANSFER TO DDA# 20071474731 ON24 AT 11.54
9/9/23 0:00,-756.06,ZELLE DEBIT PAYMENT TO: C. NGUYEN . ID: 0FFQAY8CI 7
5/16/23 0:00,-737.8,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""EVERCREST HORIZON CO"" I8UZTUIJGTDEKW"
5/27/22 0:00,-695,INTERNET TRANSFER TO DDA# 20232892316 ON07 AT 20.43
5/28/23 0:00,-695,ACH DEBIT PAYMENT PROCESSOR PAYABLES BROOKFIELD BROOK INC 5DW99J 3
10/13/23 0:00,-683.6,ZELLE DEBIT PAYMENT TO: D. GREEN . ID: 0RNH48OILKGJ
12/9/23 0:00,-683.05,"ACH CREDIT ACCOUNTING APP IWN62MZLOX9CJ2 DEPOSIT HILLCREST EDGE CORP, L 0VHQ23"
10/6/23 0:00,-658.45,"ACH CREDIT ACCOUNTING APP V4MF7E4W 2 DEPOSIT SEABRIGHT GROUP  CORP, L Y0GYGHZ8339ZUK"
9/6/22 0:00,-642.2,ACH DEBIT PAYMENT PROCESSOR PAYABLES GOLDLEAF ATLAS PLC 4Q6NXEO42SMV 7
3/31/24 0:00,-640.19,ACH DEBIT PAYMENT PROCESSOR PAYABLES CEDARBROOK DIGITAL LTD G5EZTJ9D34SSH 3
9/18/23 0:00,-636.8,INCOMING WIRE GREENLINE MEADOW LP 48XH1UAKGMNLW
12/13/23 0:00,-631.91,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONEGATE VENTURES LP 5S497F
9/28/23 0:00,-614.67,INCOMING WIRE NORTHLAKE CROSSING INC ET1DEF20C
3/19/24 0:00,-609.73,ACH DEBIT CARD PROCESSOR ACH PMT RIVERSIDE POINT CAPITAL INC WIEHIK39BCYKTR 4
4/10/23 0:00,-603,ACH DEBIT PAYMENT PROCESSOR PAYABLES AUTUMN RIDGE PARTNERS INC 9GTGXZLNET
5/17/23 0:00,-544.38,INTERNET TRANSFER TO DDA# 20111341865 ON21 AT 05.14
3/2/23 0:00,-543.36,ACH DEBIT PAYMENT PROCESSOR PAYABLES COPPERFIELD MEADOW CO ZWPMRPDMITQP 4
1/23/23 0:00,-536.98,MOBILE DEPOSIT 8D5
2/18/24 0:00,-516.42,"ACH CREDIT ACCOUNTING APP NJIFRN80ESYJXU 2 DEPOSIT AMBERWOOD CROSSING INC, L VUB19YXU8BSB6"
12/12/22 0:00,-516.13,ACH DEBIT TAX AUTHORITY PAYMENT U1NGVTMA55Y 7
11/1/23 0:00,-504.31,ACH DEBIT PAYMENT PROCESSOR PAYABLES BLUE HARBOR RIDGE PLC JBY6WV
6/3/23 0:00,-500.7,ACH DEBIT PAYMENT PROCESSOR PAYABLES SAGE VALLEY CANYON PLC BPEJ4BRUGMO3NGT2
3/27/23 0:00,-500,ZELLE DEBIT PAYMENT TO: K. PATEL . ID: 28D79FXR
9/19/23 0:00,-493.84,INCOMING WIRE CEDAR RIDGE DATA PLC KE0OPY9B9BVJU1
11/27/22 0:00,-470.76,INTERNET TRANSFER TO DDA# 20757857168 ON29 AT 16.06
12/11/22 0:00,-470,INTERNET TRANSFER TO DDA# 20047227076 ON20 AT 09.27
5/20/22 0:00,-447.45,ACH DEBIT CARD PROCESSOR ACH PMT RIVERBEND STRATEGY CO 5B8KF6V8W13T 1
9/14/22 0:00,-443.67,ACH DEBIT PAYMENT PROCESSOR PAYABLES BROOKFIELD MEADOW LTD EHZHYGHAV256W
2/28/23 0:00,-430.39,ZELLE DEBIT PAYMENT TO: N. ROGERS . ID: AOH6VZ26L4WN
4/12/23 0:00,-428.2,ACH DEBIT CARD PROCESSOR ACH PMT LEDGER VALLEY LP 6C2WG0IUCZYR9J0M
2/16/24 0:00,-426.42,ACH DEBIT PAYMENT PROCESSOR PAYABLES HILLSIDE HOLLOW LLC PRO7YZBO 7
11/1/23 0:00,-424.08,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLEARWATER SANDS STRATEGY CO 32QNT7KH51CTM 5
11/13/23 0:00,-414.05,ACH DEBIT PAYMENT PROCESSOR PAYABLES PARKVIEW POINTE CO M5XJZJO0RTL15S9O
1/21/24 0:00,-411.67,"ZELLE DEBIT PAYMENT TO: ""F. WRIGHT"" . ID: VFGA1FMZ2XSG"
1/7/24 0:00,-411.55,"ACH  DEBIT CARD PROCESSOR ACH PMT ""LAKECREST HOLLOW ANALYTICS PLC"" E6G9EZIV8 4"
2/23/23 0:00,-407.03,INCOMING WIRE VALEWOOD STRATEGY CO L4MOCRQ0YE
7/22/22 0:00,-404.45,ACH DEBIT TAX AUTHORITY PAYMENT IXG34G
2/2/23 0:00,-402.96,ACH DEBIT PAYMENT PROCESSOR PAYABLES REDWOOD PARK LTD 1U24UKA39 1
10/5/22 0:00,-400.42,INTERNET TRANSFER TO DDA# 20040209454 ON14 AT 15.32
2/3/24 0:00,-400,ACH DEBIT PAYMENT PROCESSOR PAYABLES BRIGHTLINE PROPERTIES LLC PVOZGF1BRJSHR 3
11/8/22 0:00,-399.66,ACH DEBIT PAYMENT PROCESSOR PAYABLES NORTHLAKE POINTE OPERATIONS CO 6IX76HUGW3TH6H 6
11/7/23 0:00,-388.79,ACH DEBIT PAYMENT PROCESSOR PAYABLES LEDGER POINTE PLC GHWGFSNVLECM
7/15/23 0:00,-386.46,ACH DEBIT CARD PROCESSOR ACH PMT MEADOWLARK LABS LLC O6C5QG5Q
3/10/24 0:00,-383.82,ZELLE DEBIT PAYMENT TO: B. EDWARDS . ID: HXDKK33PJ6W 6
3/9/24 0:00,-383.82,INCOMING WIRE WINDWARD DATA CORP SX9ANC9GYK
5/13/23 0:00,-382.5,ZELLE DEBIT PAYMENT TO: E. PARKER . ID: N1202ODGZ
4/11/23 0:00,-381.05,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""COBALT RIDGE HEIGHTS LTD"" 28FFO57CKY7UX8"
3/18/24 0:00,-373.75,"ACH CREDIT ACCOUNTING APP 13BED7TA1Z DEPOSIT SEAVIEW MEADOW OPERATIONS PLC, L NFY4SGBL1U4E7R7R"
11/15/23 0:00,-373.75,ACH DEBIT TAX AUTHORITY PAYMENT YKDH655D
5/2/23 0:00,-372.75,INTERNET TRANSFER TO DDA# 20040209454 ON14 AT 15.32
2/3/24 0:00,-370.21,INSTANT TRANSFER TO DDA# 20604640920 ON27 AT 02.07
9/18/23 0:00,-367.95,INCOMING WIRE MERIDIAN BAY CORP EHR9EDB5FGR0
4/19/23 0:00,-365.21,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIVERBEND LABS PLC E6O1I9ALUKWVFV
3/2/24 0:00,-363.95,"ACH CREDIT ACCOUNTING APP EMNA1AD DEPOSIT CLEARWATER PROJECTS LTD, L LSSS86ND3HAW1H"
7/3/23 0:00,-362.75,ACH DEBIT CARD PROCESSOR ACH PMT BLUE HARBOR SHORE PLC UHG0AIEQ 4
4/12/23 0:00,-362.75,ACH DEBIT PAYMENT PROCESSOR PAYABLES SAGE VALLEY CANYON PLC GYNK6MWSO4 3 
6/2/23 0:00,-362.75,ZELLE DEBIT PAYMENT TO: K. PATEL . ID: 62UZF0I2TB99QFNE
3/23/23 0:00,-362.75,ACH DEBIT PAYMENT PROCESSOR PAYABLES GREENLINE POINT INC Y8HIG9
8/2/23 0:00,-362.75,ZELLE DEBIT PAYMENT TO: I.  CLARK . ID: JDFGQW1L4HS8 3
6/2/22 0:00,-360,ACH DEBIT TAX AUTHORITY PAYMENT Q35OR7OPJ6 1
3/1/24 0:00,-359.28,INCOMING WIRE ASHGROVE HEIGHTS LLC EH7CHHISDMXDE
3/2/24 0:00,-359.28,ACH DEBIT PAYMENT PROCESSOR PAYABLES SEABRIGHT MERIDIAN ANALYTICS CORP ASO6LG4H34SW 76
3/3/23 0:00,-359.28,ZELLE DEBIT PAYMENT TO: M. LOPEZ . ID: SD1P6SNI
4/5/23 0:00,-355.8,ACH DEBIT TAX AUTHORITY PAYMENT 015P4NP
2/17/24 0:00,-355.48,ACH DEBIT CARD PROCESSOR ACH PMT RIDGELAND BLOOM CORP NJPFUV4ZWE
2/18/24 0:00,-355.48,ZELLE DEBIT PAYMENT TO:  R. ROBERTS . ID: IVW1KZA
10/21/22 0:00,-355,ATM WITHDRAWAL #3609 300 OAKBRIDGE LN NORTHPORT WA TERMINAL TX90
8/5/23 0:00,-352.11,INCOMING WIRE  LAKESHORE BAY LTD Q6P0INVB6UX
5/11/23 0:00,-349.41,ZELLE DEBIT PAYMENT TO: V. HILL . ID: F2Y9G3Y3JPC7
3/11/23 0:00,-346.67,"ACH CREDIT ACCOUNTING APP HA92TNHGSOT0H1 DEPOSIT CLEARVIEW GROVE SOLUTIONS LP, L JYOH8MS4FKUPQ3K9"
5/10/23 0:00,-335.63,INCOMING WIRE SUNRIDGE PROJECTS CO 0O0MMLQDLFAHU
9/27/23 0:00,-335.07,INSTANT TRANSFER TO DDA# 20507510250 ON18 AT 05.27
1/4/23 0:00,-332.51,ACH DEBIT PAYMENT PROCESSOR PAYABLES COPPERFIELD HARBOR CO FHGQZV
6/18/22 0:00,-325.64,ACH DEBIT TAX AUTHORITY PAYMENT 41HU0RX3DPGI 61
8/9/23 0:00,-323.98,ACH DEBIT PAYMENT PROCESSOR PAYABLES IRONWOOD LOGISTICS INC PH01FYX652OY
8/28/22 0:00,-316.98,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""STONEWELL GROVE CORP"" 0EWYMZPE"
2/2/24 0:00,-316.67,ACH DEBIT PAYMENT PROCESSOR PAYABLES SILVERLINE SPRINGS INC P4MYB30J75
2/3/24 0:00,-316.67,ACH DEBIT PAYMENT PROCESSOR PAYABLES SILVERLINE LEDGER OPERATIONS CORP XSLDPM
1/6/24 0:00,-314.6,INTERNET TRANSFER TO DDA# 20105545812 ON22 AT 11.06
6/25/22 0:00,-313.48,INTERNET TRANSFER TO DDA# 20046676971 ON07 AT 04.04
3/6/24 0:00,-307.12,INTERNET TRANSFER TO DDA# 20774935868 ON18 AT 07.20
7/13/23 0:00,-302.19,ZELLE DEBIT PAYMENT TO: E. MORRIS . ID: 1GG2ELZ
8/9/22 0:00,-301,ACH DEBIT PAYMENT PROCESSOR PAYABLES CEDARBROOK HORIZON PARTNERS PLC A8SSS4863 4
3/1/24 0:00,-298.32,ACH DEBIT PAYMENT PROCESSOR PAYABLES MERIDIAN FIELD LABS LP INBOOHMV8ASD8T
4/5/23 0:00,-295.43,"ACH CREDIT ACCOUNTING APP RYJVZPZCL DEPOSIT SPRINGLINE HARBOR INC, L 0ES4H5PCOG"
11/1/22 0:00,-290,INTERNET TRANSFER TO DDA# 20897048023 ON06 AT 23.34
8/23/22 0:00,-287.02,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIVERTON NETWORKS CO 92ZSH1 2
1/11/24 0:00,-286,INTERNET TRANSFER TO DDA# 20518524333 ON12 AT 18.50
6/30/22 0:00,-285,ACH DEBIT CARD PROCESSOR ACH PMT AMBERWOOD HARBOR INC 7NATOD7P162BKL2V 3
1/30/23 0:00,-283.08,ACH DEBIT PAYMENT PROCESSOR PAYABLES OAKBRIDGE BRIDGE INC AOUS2TXJJ1ITQN
10/30/22 0:00,-282.4,ACH DEBIT PAYMENT PROCESSOR PAYABLES EVERCREST  VENTURES PLC TSRD24SS 9
4/6/23 0:00,-282.29,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLEARVIEW CAPITAL PLC 1OYXPVFOS3NXJEYG
6/3/22 0:00,-275.35,ATM WITHDRAWAL #1689 909 RIVER ST NORTH TOWN IL TERMINAL TN88
10/3/22 0:00,-275,ZELLE DEBIT PAYMENT TO: H.  CHEN . ID: THQP7W6OK2MIMY28
5/26/23 0:00,-274,"ACH CREDIT ACCOUNTING APP Q6IR8PI 8 DEPOSIT PARKSTONE SYSTEMS PLC, L 97TH4YW2WJ67VQ8C"
6/15/23 0:00,-272.18,"ACH CREDIT ACCOUNTING APP 7DWOHH66D1VSSZ8 DEPOSIT PARKVIEW VENTURES PLC, L LFC17UW6SSWW37OA"
3/20/23 0:00,-270.82,ACH DEBIT PAYMENT PROCESSOR PAYABLES COPPERFIELD MEADOW CO A75SRY6NJ78OOL9
6/15/23 0:00,-268.55,ACH DEBIT PAYMENT PROCESSOR PAYABLES SOUTHPORT CAPITAL PLC 3QNPX65A0MDSW
10/16/23 0:00,-267.46,INTERNET TRANSFER TO DDA# 20342108090 ON08 AT 11.19
2/6/24 0:00,-264.17,INCOMING WIRE GOLDLEAF DIGITAL LLC LM2DQ4YEXICY
3/5/24 0:00,-259.12,INCOMING WIRE HARBORVIEW MEADOW LP Z7KFMDDUM
2/24/23 0:00,-252.31,ACH DEBIT PAYMENT PROCESSOR PAYABLES NORTHPOINT RIDGE PLC 5VIIS37ZC
6/11/22 0:00,-251.74,ACH DEBIT CARD PROCESSOR  ACH PMT COPPERFIELD GROUP LTD 1O7GUD44E3PYCI
6/1/23 0:00,-251.55,ACH DEBIT  PAYMENT PROCESSOR PAYABLES PRAIRIE MERIDIAN GROUP LLC T0M5MADT34YS3N6
6/5/23 0:00,-250.02,INTERNET TRANSFER TO DDA# 20547917925 ON06 AT 16.42
12/15/23 0:00,-250,ZELLE DEBIT PAYMENT TO: S. LEWIS . ID: K4BR52JT3I 3
9/9/22 0:00,-250,ACH DEBIT TAX AUTHORITY PAYMENT R02V3OPF7Z 4
10/4/23 0:00,-250,ACH DEBIT PAYMENT PROCESSOR PAYABLES WESTGATE POINT CONSULTING CO ZWXAHQN0U37TH4M
12/15/22 0:00,-250,ACH DEBIT PAYMENT PROCESSOR PAYABLES SUMMIT ANALYTICS LTD LMF91CSMG8M
12/22/23 0:00,-249.17,ZELLE DEBIT PAYMENT TO: Z. ROGERS . ID: PQPN1ZJ9QME
11/7/23 0:00,-249.17,INCOMING WIRE PRAIRIE SUMMIT LABS LTD V77USICWIMK5A 
9/13/23 0:00,-246.13,ACH DEBIT PAYMENT PROCESSOR PAYABLES PRAIRIE HOLLOW INC UE2Q1C
9/11/23 0:00,-242.95,ACH DEBIT CARD PROCESSOR ACH PMT SPRINGLINE FORGE CO EJR3E4SQQOTFSK
1/4/24 0:00,-240,ACH DEBIT PAYMENT PROCESSOR PAYABLES EASTWOOD BAY INDUSTRIES INC QS0092Y9E65 8
8/10/23 0:00,-239.7,INSTANT TRANSFER TO DDA# 20932810263 ON07 AT 10.22
9/12/23 0:00,-239,ZELLE DEBIT PAYMENT TO: D. TURNER . ID: SDR2MVN49XBZHMI 5
6/17/22 0:00,-237.2,INTERNET TRANSFER TO DDA# 20492157613 ON07 AT 18.19
10/5/22 0:00,-236.89,ACH DEBIT TAX AUTHORITY PAYMENT IJEKS96SIK
10/31/22 0:00,-236.17,ACH DEBIT PAYMENT PROCESSOR PAYABLES GOLDLEAF POINT PLC RQ03VCGNRML7W 5
8/11/23 0:00,-233.24,ACH DEBIT TAX AUTHORITY PAYMENT 47GHYZN9PB15
12/13/23 0:00,-231.96,ZELLE DEBIT PAYMENT TO: J. ROGERS . ID: BH4RUNSPJC0EG0 7
2/8/24 0:00,-230.53,ACH DEBIT PAYMENT PROCESSOR PAYABLES PRAIRIE INDUSTRIES LLC C6QSVW25
9/15/22 0:00,-228.53,"ACH CREDIT ACCOUNTING APP S8WOAOW2 DEPOSIT HARBORVIEW HORIZON LABS CORP, L EULX9VX7LBNP"
3/9/24 0:00,-227.29,ACH DEBIT PAYMENT PROCESSOR PAYABLES WILLOWBEND VISTA CO O9W5QT3BO0A7 9
6/12/23 0:00,-226.62,ACH DEBIT CARD PROCESSOR ACH PMT REDWOOD RIDGE LP Z19RP381XE
9/6/23 0:00,-225.55,ACH DEBIT PAYMENT PROCESSOR PAYABLES HILLCREST BLOOM ADVISORS CORP CZJSCA6S2I2
3/26/24 0:00,-222.02,INCOMING WIRE SUMMIT RESOURCES INC BMZAPQYUIOXUYGUO
9/23/22 0:00,-220.38,ACH DEBIT PAYMENT PROCESSOR PAYABLES MAPLECREST MERIDIAN LLC REPOL703VZISA8BZ 6
11/2/23 0:00,-220.09,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLEARVIEW GROVE SOLUTIONS LP PLN88IMULCCFLZJ0
4/13/23 0:00,-217.8,ACH DEBIT PAYMENT PROCESSOR PAYABLES HARBORVIEW EDGE LLC IE3ZGUS1FVK 8
8/9/23 0:00,-216.07,ZELLE DEBIT PAYMENT TO: Q. COLLINS . ID: OU3H6RFYG6MIDOJ 96
4/3/23 0:00,-212.64,"ACH CREDIT ACCOUNTING APP M277CN5BNIUZIWL2 5 DEPOSIT AMBERWOOD BAY CAPITAL INC, L EYPGGY7"
6/26/23 0:00,-212.64,ACH DEBIT TAX AUTHORITY PAYMENT V0SZL17OVREUD6C
1/11/23 0:00,-210.74,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIDGELAND HOLDINGS CO 3HYGPEHG 7
3/19/24 0:00,-209.65,ACH DEBIT PAYMENT PROCESSOR PAYABLES CROSSWIND OPERATIONS INC QGYDYKHII
3/19/24 0:00,-209.65,INCOMING WIRE SOUTHPORT ATLAS LTD L9HU2QE17HB4NEX
2/19/24 0:00,-209.53,ACH DEBIT PAYMENT PROCESSOR PAYABLES SPRINGLINE HOLDINGS LLC JTSM3KULF2G1 4
2/19/24 0:00,-209.53,ACH DEBIT PAYMENT PROCESSOR PAYABLES ROCKBRIDGE BAY LP H10I5CWS
4/8/23 0:00,-209.39,ACH DEBIT PAYMENT PROCESSOR PAYABLES CEDAR RIDGE HARBOR LP 3AT753
11/9/22 0:00,-206.38,INTERNET TRANSFER TO DDA# 20849202633 ON05 AT 12.07
11/19/23 0:00,-205.69,ACH DEBIT PAYMENT PROCESSOR PAYABLES WESTGATE HORIZON LLC LLLHBB
12/19/23 0:00,-205.69,ACH DEBIT PAYMENT PROCESSOR PAYABLES PINECREST CREEK INC CGK30W 9
1/19/24 0:00,-205.69,ACH DEBIT TAX AUTHORITY PAYMENT 3ZEJZP628QGUS
9/6/23 0:00,-205.56,ZELLE DEBIT PAYMENT TO: R. NELSON . ID: WAPYK1CH822NS
3/30/24 0:00,-204.7,ACH DEBIT CARD PROCESSOR ACH PMT COBALT RIDGE RIDGE ANALYTICS CO 3TOQZ7J89
9/21/22 0:00,-203.84,ZELLE DEBIT PAYMENT TO: X. CHEN . ID: 1PQKU4C0XYXMEK
5/1/23 0:00,-203.62,ACH DEBIT PAYMENT PROCESSOR PAYABLES CRESCENT RIDGE ATLAS INC B6AY90 3
9/15/23 0:00,-200,ACH DEBIT PAYMENT PROCESSOR PAYABLES AUTUMN RIDGE HARBOR LLC 6ZG65TN823JWMUH
9/18/23 0:00,-199,ACH DEBIT PAYMENT PROCESSOR PAYABLES HIGHLAND SOLUTIONS CO RBKSAUAC
1/7/24 0:00,-197.97,ACH DEBIT PAYMENT PROCESSOR PAYABLES NORTHLAKE LEDGER CO LI3EHFJK3MH2RC
2/5/23 0:00,-197.66,INTERNET TRANSFER TO DDA# 20351215444 ON17 AT 03.16
12/20/22 0:00,-197.5,INTERNET TRANSFER TO DDA# 20391669811 ON07 AT 04.41
10/19/23 0:00,-195.07,ZELLE DEBIT PAYMENT TO: Y. STEWART . ID: CHOXVNLSBK7EK
5/19/23 0:00,-194,ACH DEBIT PAYMENT PROCESSOR PAYABLES GRANITE PEAK VENTURES LLC LEMX44RTCB 2
7/19/23 0:00,-194,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONEGATE VALE INC RL89LRUYX4RLQME
4/19/23 0:00,-194,INTERNET TRANSFER TO DDA# 20832209021 ON06 AT 06.26
6/19/23 0:00,-194,ZELLE DEBIT PAYMENT TO: I. NGUYEN . ID: QFAEAJG
8/19/23 0:00,-194,ACH DEBIT PAYMENT PROCESSOR PAYABLES CROSSWIND BLOOM INDUSTRIES PLC Y8IRGO8AW1
3/19/23 0:00,-194,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONECREST CREEK INDUSTRIES CORP YEVDTE
2/19/23 0:00,-193.88,"ACH CREDIT ACCOUNTING APP AN61RHVUS8 DEPOSIT EMBERLINE BLOOM LLC, L ZZU5U3W8"
3/8/24 0:00,-193.29,ACH DEBIT PAYMENT PROCESSOR PAYABLES RIVERSIDE STRATEGY PLC 4EAZF3ZR 5
2/21/24 0:00,-192.84,ZELLE DEBIT PAYMENT TO: Z. WRIGHT . ID: K5OF5UH3OFFE
12/19/22 0:00,-192.47,INTERNET TRANSFER TO DDA# 20918241253 ON24 AT 20.28
1/19/23 0:00,-192.47,ACH DEBIT PAYMENT PROCESSOR PAYABLES OAKRIDGE MERIDIAN CO CD277Q
11/6/23 0:00,-192.22,INTERNET TRANSFER TO DDA# 20246293066 ON04 AT 16.01
11/12/23 0:00,-190.65,ZELLE DEBIT PAYMENT TO: B. EDWARDS .  ID: K3J2AE0TGKKT
2/7/24 0:00,-190.53,ACH DEBIT PAYMENT PROCESSOR PAYABLES BAYVIEW BROOK PLC CJ4C4Z5550W0XD
3/25/24 0:00,-190.52,ACH DEBIT PAYMENT PROCESSOR PAYABLES PINECREST RESOURCES CORP XSUFY9ZQ 9
9/19/23 0:00,-189.07,ACH DEBIT PAYMENT PROCESSOR PAYABLES PRAIRIE RIDGE LLC DQWVAR7KCYOH 8
4/24/23 0:00,-188.14,ACH DEBIT CARD PROCESSOR ACH PMT WINDWARD PARK LLC 8HZD6RQLUKO 4
11/19/22 0:00,-187.28,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""GREENLINE SHORE LLC"" 6DD6IHGZUHNT1EKC 1"
3/24/24 0:00,-186.78,ACH DEBIT PAYMENT PROCESSOR PAYABLES CLEARWATER FORGE LOGISTICS LP LBJCZYC4E2142
9/30/22 0:00,-186.78,ACH DEBIT PAYMENT PROCESSOR PAYABLES PARKSTONE BRIDGE INC TN8O77ZQPR98 5
10/6/22 0:00,-184.53,ACH DEBIT TAX AUTHORITY PAYMENT 5JDW3O
6/14/23 0:00,-182.25,ACH DEBIT PAYMENT PROCESSOR PAYABLES HARBORVIEW POINT HOLDINGS PLC YFUSRFG
3/28/23 0:00,-181.91,ACH DEBIT PAYMENT PROCESSOR PAYABLES MERIDIAN VISTA CO 3GQAY44P264IND4
1/28/24 0:00,-179.51,INCOMING WIRE HARBORVIEW VALLEY ANALYTICS CO CO33OFN8AQ
6/1/23 0:00,-179.24,ACH DEBIT TAX AUTHORITY PAYMENT 5L6CJHL55XT9S
9/28/23 0:00,-179.13,ACH DEBIT TAX AUTHORITY PAYMENT 1D2XMGMWKPV9V
3/10/24 0:00,-178.24,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONEGATE GROVE PROPERTIES CORP YMGOX6BSDORU74
10/19/22 0:00,-176.68,INCOMING WIRE HIGHLAND PROPERTIES PLC 4YMGQAWTKDQ1CV
9/18/23 0:00,-171,INCOMING WIRE TIMBERLINE LABS LTD RMV9BV59
11/23/22 0:00,-170.85,INCOMING WIRE SILVERLINE RESOURCES LP CNFDWEVGRUN8CFD
9/6/22 0:00,-170,ACH DEBIT TAX AUTHORITY PAYMENT 8TE2ZVM0
9/6/22 0:00,-170,ACH DEBIT PAYMENT PROCESSOR PAYABLES COBALT RIDGE GROUP CO APYY70K56B1
12/11/23 0:00,-166.27,ACH DEBIT TAX AUTHORITY PAYMENT 9T9HJY
2/20/24 0:00,-165.48,ACH DEBIT PAYMENT PROCESSOR PAYABLES MAPLECREST RIDGE LTD K30NZTXON7MG 1
9/26/23 0:00,-163.31,ACH DEBIT TAX AUTHORITY PAYMENT 2I48SBMDDEM1HL
5/23/23 0:00,-162.29,INTERNET TRANSFER TO DDA# 20508178172 ON29 AT  05.04
5/7/23 0:00,-162,INTERNET TRANSFER TO DDA# 20400801594 ON29 AT  23.13
10/21/23 0:00,-158.34,ACH DEBIT CARD PROCESSOR ACH PMT GOLDLEAF LABS INC BG3YKK4PT6S
3/16/24 0:00,-158,ACH DEBIT PAYMENT PROCESSOR PAYABLES GREENLINE PROJECTS CORP RLWKZ4
3/17/24 0:00,-158,ACH DEBIT PAYMENT PROCESSOR PAYABLES STONEWELL VALLEY LTD 9DCX0LPWWR0Q
10/2/23 0:00,-157.01,ACH DEBIT PAYMENT PROCESSOR PAYABLES HILLCREST SYSTEMS INC SSOLJ30VVJ1MYHK
5/26/23 0:00,-157,ACH DEBIT TAX AUTHORITY PAYMENT VBNO3P
3/23/24 0:00,-156.78,ACH DEBIT PAYMENT PROCESSOR PAYABLES SOUTHPORT BRIDGE LLC DMED67G2ADEW4RU6
6/3/22 0:00,-155.66,ACH DEBIT TAX AUTHORITY PAYMENT HRP6P7FQMBUH7FV6
2/5/24 0:00,-153.91,ZELLE DEBIT PAYMENT TO: X. COOK . ID: 93KPTXEUCY8Z
6/5/22 0:00,-150.85,ACH DEBIT PAYMENT PROCESSOR PAYABLES HILLCREST CONSULTING LTD 56TSYOANKMH21MU8
11/30/22 0:00,-150.21,"ACH DEBIT PAYMENT PROCESSOR PAYABLES ""BROOKFIELD BRIDGE LLC"" 45CN5SI2ORR 4"
4/21/23 0:00,-150.17,ACH DEBIT PAYMENT PROCESSOR PAYABLES COPPERFIELD CONSULTING PLC DXZATPC
5/15/23 0:00,-149.99,ACH DEBIT PAYMENT PROCESSOR PAYABLES ATLAS CANYON PLC 6XD4EN6HH4
10/1/22 0:00,-149.98,ACH DEBIT PAYMENT PROCESSOR PAYABLES BROOKFIELD PARK INC TA17E2JMLL 3
3/9/24 0:00,-148.24,"ACH CREDIT ACCOUNTING APP 66IJZBJJ70 3 DEPOSIT ROCKBRIDGE SUMMIT LP, L 0DNLMUXLS91WXWV8"
12/9/22 0:00,-148.03,ACH DEBIT TAX AUTHORITY PAYMENT YFKTKM043
9/23/22 0:00,-147.32,ACH DEBIT TAX AUTHORITY PAYMENT BKJDE8SF3ZB
3/3/24 0:00,-147.31,ACH DEBIT CARD PROCESSOR ACH PMT AUTUMN RIDGE HEIGHTS LTD LG6A6B
3/15/24 0:00,-141.67,ACH DEBIT PAYMENT PROCESSOR PAYABLES WILLOWBEND HARBOR INC Z2KTWY1P774G
6/3/22 0:00,-141.34,ACH  DEBIT PAYMENT PROCESSOR PAYABLES ATLAS HOLLOW LTD 7XBSIIQ9
4/21/23 0:00,-140.49,ACH DEBIT CARD PROCESSOR ACH PMT EASTWOOD MERIDIAN SERVICES CORP LG5WEMFOZA
10/18/22 0:00,-139,ZELLE DEBIT PAYMENT TO: O. CLARK . ID: TDKSRU4PT8VK6FAV
8/9/23 0:00,-139,ACH DEBIT PAYMENT PROCESSOR PAYABLES WILLOWBEND DIGITAL LLC RF26JPWFML8Z
6/13/22 0:00,-137.91,ACH DEBIT PAYMENT PROCESSOR PAYABLES VALEWOOD HARBOR SERVICES LTD 9QY4AC
11/3/23 0:00,-137.18,INTERNET TRANSFER TO DDA# 20334111039 ON25 AT 08.03 
